Date,Milk_Supply_Liters,Downtime_Hours,Milk_500ml_Demand,Milk_500ml_Inventory,Milk_1L_Demand,Milk_1L_Inventory,Butter_Demand,Butter_Inventory,Cheese_Demand,Cheese_Inventory,Yogurt_Demand,Yogurt_Inventory
2020-01-01,10025,0.4,2137,2677,1891,2256,2816,3386,3523,4055,3989,4738
2020-01-02,10276,0.05,2115,2641,2633,2962,2620,3242,3081,3253,3910,4205
2020-01-03,8487,2.82,1458,2052,2128,2266,3193,3449,2992,3441,4276,4602
2020-01-04,9260,0.59,1684,1827,2689,3319,2871,3480,3419,4252,4262,4811
2020-01-05,9549,1.71,1933,2479,2535,2893,3159,3667,3764,3961,4314,4959
2020-01-06,9618,4.42,2038,2703,2165,2466,2706,3249,3525,3991,4633,5285
2020-01-07,11537,1.25,1962,2254,2142,2626,3609,4275,3597,4216,4094,4911
2020-01-08,10669,0.76,2081,2736,2478,3040,2964,3601,3953,4556,4637,5129
2020-01-09,8666,0.47,1369,1908,3244,3630,2859,3128,3758,4552,4483,5095
2020-01-10,10295,4.08,2151,2501,2986,3819,3296,3733,3705,3927,4495,5223
2020-01-11,10597,1.72,2018,2320,2607,3365,2974,3843,3707,4402,4147,4464
2020-01-12,11368,1.64,1943,2223,2654,3111,3949,4278,3628,4266,4300,4793
2020-01-13,11896,0.83,2278,2514,2680,3237,3349,3826,3679,4278,4511,4905
2020-01-14,8781,2.8,1686,1941,2339,2498,2857,3336,3651,3826,3680,4389
2020-01-15,9026,1.88,1928,2393,2292,2902,3022,3585,3669,4461,3992,4745
2020-01-16,8490,0.5,2085,2701,2755,3293,3019,3804,4568,4929,4086,4537
2020-01-17,9719,1.37,1744,2692,2319,2412,2683,3108,3467,3569,4364,5000
2020-01-18,10559,0.84,1398,1919,2932,3344,3385,4203,2827,3259,4219,4743
2020-01-19,11184,0.01,1654,1830,2094,2276,2871,3457,3177,3509,4280,4794
2020-01-20,9908,2.47,1980,2645,2229,2888,2925,3442,3836,4322,4155,4603
2020-01-21,9616,0.2,1925,2489,2924,3153,3065,3530,3618,4126,4085,4799
2020-01-22,10182,1.07,1994,2599,2413,2576,2725,3357,3413,4125,3524,4258
2020-01-23,8997,0.61,1802,2378,2463,2750,3063,3650,3626,4245,3873,4538
2020-01-24,12507,0.63,1606,1973,2693,3147,2849,3110,3779,4302,4267,4770
2020-01-25,8070,0.97,2041,2653,2847,3306,2857,3122,3664,4084,4010,4644
2020-01-26,10221,8.73,1950,2572,2682,3001,2951,3719,3928,4390,3556,4292
2020-01-27,12428,0.79,2191,2478,2586,3068,2779,3602,4066,4406,3852,4572
2020-01-28,10008,0.3,1775,2317,2740,3078,2530,2473,3777,4108,4606,5173
2020-01-29,9771,1.43,1393,1886,2622,3145,3052,3457,3482,4048,3560,3844
2020-01-30,9571,0.4,1218,1838,2825,3448,2313,3014,3905,4394,3323,3765
2020-01-31,9783,0.17,1879,2857,3357,3855,2323,2586,3279,3784,4341,5157
2020-02-01,11647,0.08,2038,2507,2651,3092,3013,3575,3150,3672,3963,4230
2020-02-02,7345,0.03,1930,2700,2242,2725,2945,3555,3147,3808,4173,4950
2020-02-03,11840,0.85,1830,2087,2811,3113,3077,3653,3424,4036,4266,4741
2020-02-04,8291,0.83,1522,2091,2456,3109,3199,3663,3177,3781,3610,4041
2020-02-05,9680,0.31,1433,1960,2601,3073,2406,2827,3599,4055,4269,4290
2020-02-06,9484,2.3,2110,2626,2609,3368,2815,3225,3692,4005,3372,3936
2020-02-07,10706,0.21,1931,2181,2325,3193,2865,3609,4051,4220,4102,4747
2020-02-08,8082,3.7,1890,2706,2388,2574,3093,3680,3396,4122,4242,4580
2020-02-09,10554,1.33,1537,2169,1807,2415,3068,3403,3841,4447,4045,4269
2020-02-10,12429,0.04,1710,2212,2469,2887,2878,3312,3579,4016,3611,4263
2020-02-11,8364,4.94,2013,2384,2668,3195,3013,3513,3711,4060,3999,4662
2020-02-12,10227,0.55,2085,2664,2504,2973,2917,3409,4059,4870,4488,5183
2020-02-13,9205,0.9,1950,2637,2361,2600,2726,3179,3746,4364,4165,4650
2020-02-14,10511,0.5,2413,2858,2613,3222,3016,3501,3273,3786,3821,4490
2020-02-15,10022,1.96,1827,2330,2217,2569,2356,2892,3166,3783,3993,4556
2020-02-16,9230,1.0,2386,2937,2182,2960,3073,3752,3063,3575,4289,4793
2020-02-17,10585,0.21,2065,2361,2657,3088,3423,3670,2971,3123,4471,5296
2020-02-18,12165,0.17,2032,2211,2674,3198,2895,3430,3369,3855,3471,3817
2020-02-19,9770,1.94,2279,2624,2653,3246,3618,4139,3563,4083,4343,4788
2020-02-20,10863,0.41,1812,2108,2409,2990,3180,3934,3508,4295,4301,4839
2020-02-21,8448,0.22,1901,2425,2828,3432,3437,4054,3315,3869,3720,4070
2020-02-22,8852,1.04,1632,2333,2162,2779,3115,3814,2940,3372,4150,4792
2020-02-23,10566,2.44,2280,2790,2410,2858,3165,3791,3890,4214,3924,4613
2020-02-24,11780,0.49,2100,2447,2724,3131,3042,3460,3290,3957,3734,4311
2020-02-25,10426,0.49,2329,2675,2757,3380,2529,2992,3656,4390,3959,4461
2020-02-26,9624,2.69,2061,2481,2268,2771,2410,3021,3192,3534,3578,4282
2020-02-27,9999,0.24,2330,3108,3142,3481,2927,3746,3013,3452,4023,4653
2020-02-28,8499,1.44,1775,2057,2460,2952,2819,3433,3360,3886,3862,4567
2020-02-29,10725,4.65,2296,2795,2526,2738,2828,3410,3668,3806,3919,4360
2020-03-01,11058,2.76,1880,2288,2793,3244,2620,3384,2992,3836,3907,4705
2020-03-02,9457,0.1,2000,2560,2965,3412,3332,3916,3405,3938,3946,4744
2020-03-03,9435,0.58,2218,2630,2518,2998,2690,2779,3463,4247,3779,4295
2020-03-04,10319,0.23,2698,3197,2851,3343,2671,2874,3373,3958,3239,3560
2020-03-05,9475,4.47,2246,2435,2363,2991,3011,3309,3125,3242,4587,4919
2020-03-06,9920,6.4,2274,2500,3000,3748,3325,3745,3455,3831,4518,5044
2020-03-07,12519,0.4,1836,2286,2511,2899,3254,3993,3289,3699,4219,4550
2020-03-08,9703,1.66,2047,2460,2594,2962,2805,3730,3063,3442,3882,4193
2020-03-09,9569,2.76,1971,2446,2395,2902,2936,3504,3852,4357,4235,4586
2020-03-10,9222,0.4,2422,2914,2564,2856,3492,4035,3794,4269,3475,4402
2020-03-11,10893,0.31,1956,2577,2280,3127,3331,3698,3308,3781,4277,4793
2020-03-12,9782,0.02,2398,2770,2481,2976,3263,3820,3321,3613,3842,4366
2020-03-13,9220,0.8,1609,1938,2505,2819,3115,3902,3470,3998,3601,4226
2020-03-14,11585,3.45,2419,3223,2183,2536,3030,3385,3755,4475,4348,4590
2020-03-15,11703,3.5,1741,2414,2328,2664,3602,4044,3894,4163,4152,4500
2020-03-16,9279,0.21,2256,2826,1870,2538,3338,3329,3059,3641,3854,4360
2020-03-17,7760,0.34,1740,2247,2127,2659,3036,3717,3785,4163,3985,4574
2020-03-18,11209,0.79,2185,3016,2495,3385,3216,3593,3535,4021,3721,4024
2020-03-19,9178,2.28,1711,2197,2787,2600,2925,3205,3448,4122,4156,4779
2020-03-20,10948,1.42,2310,2936,2392,3122,2518,2705,3138,3641,4142,4621
2020-03-21,7635,1.08,2253,2933,2490,2500,2693,3103,3452,4059,4111,4743
2020-03-22,11071,1.34,1819,2638,2848,3146,2861,3554,3463,3674,3355,4042
2020-03-23,8546,0.15,2173,2958,2749,3212,2842,3548,3395,3926,4071,4713
